"AGE"	"n_older_m"	"n_younger_m"	"n_older_f"	"n_younger_f"	"p_older_m"	"p_younger_m"	"p_older_f"	"p_younger_f"	"p_same_m"	"n_same_m"	"p_same_f"	"n_same_f"
32	89808414	67519708	95870528	64410208	0.547017755574349	0.411258561221172	0.574352388897079	0.385876218749497	0.0417236832044792	6850121	0.0397713923534246	6638615
33	87585069	69797471	93682345	66629848	0.533475492242903	0.425132281382741	0.561243165868767	0.399173898058111	0.0413922263743558	6795703	0.039582936073122	6607158
34	85257995	72098727	91433737	68865732	0.51930142168716	0.439149096022425	0.547771941672599	0.412568893824659	0.0415494822904153	6821521	0.0396591645027424	6619882
35	83015176	74369829	89250057	71048823	0.505640543369684	0.452982244425651	0.534689695744144	0.425647611102921	0.0413772122046647	6793238	0.0396626931529346	6620471
36	80804702	76593174	87098064	73237006	0.492176676540508	0.466524507757097	0.521797284006933	0.438756834131233	0.0412988157023949	6780367	0.039445881861834	6584281
37	78601717	78920248	84944928	75485614	0.478758424768865	0.48069857831284	0.508898024651438	0.452228058327401	0.0405429969182944	6656278	0.0388739170211607	6488809
38	76445552	81163067	82819380	77669294	0.465625350857239	0.494359456630316	0.496164042717851	0.465310304255856	0.0400151925124451	6569624	0.038525653026293	6430677
39	74142669	83373541	80598116	79821287	0.451598626256464	0.507823323459492	0.482856634159811	0.478202715993067	0.040578050284044	6662033	0.0389406498471229	6499948
40	72049666	85576526	78540340	81974423	0.438850268363513	0.521241575231135	0.470528668662269	0.491101975348562	0.0399081564053527	6552051	0.0383693559891686	6404588
41	69966914	87732691	76465201	84099971	0.426164348707277	0.534374649142761	0.45809668287052	0.503835957282149	0.0394610021499622	6478638	0.0380673598473312	6354179
42	67930020	90035574	74453478	86321235	0.413757747425766	0.548401373743536	0.446044617079778	0.517143365840189	0.0378408788306986	6212649	0.0368120170800329	6144638
